GEOID,ALAND,AWATER,NAME,State,County,B19049_001E,B19049_001M,B19049_002E,B19049_002M,B19049_003E,B19049_003M,B19049_004E,B19049_004M,B19049_005E,B19049_005M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19053_001E,B19053_001M,B19053_002E,B19053_002M,B19053_003E,B19053_003M,B19053_calc_pctSelfempE,B19053_calc_pctSelfempM,Shape__Area,Shape__Length,Update_Field
42003488300,6211256.0,0.0,Census Tract 4883,Pennsylvania,Allegheny County,65938.0,21346.0,,,106944.0,58500.0,96719.0,33018.0,54054.0,5235.0,,,,,,,,,,,33750.0,6431.0,65938.0,21065.0,131691.0,46117.0,824,104.0,22,18.0,802,103.0,2.7,2.1583182323795436,10712382.12890625,18250.11700149355,Yes
42003488400,3730322.0,253628.0,Census Tract 4884,Pennsylvania,Allegheny County,57000.0,13245.0,,,91101.0,29497.0,95893.0,42430.0,36094.0,25350.0,91685.0,44460.0,,,,,,,,,,,54843.0,4770.0,,,2060,226.0,63,56.0,1997,227.0,3.1,2.6976619990320656,6432405.69140625,12818.799402245584,Yes
42003488500,9604869.0,0.0,Census Tract 4885,Pennsylvania,Allegheny County,69423.0,18680.0,,,93676.0,15337.0,60216.0,31770.0,33333.0,16623.0,38688.0,5298.0,,,,,,,,,,,72973.0,15359.0,,,1308,184.0,125,79.0,1183,196.0,9.6,5.888239789154928,16559728.26953125,21826.850140835548,Yes
42003488600,12634746.0,225842.0,Census Tract 4886,Pennsylvania,Allegheny County,92944.0,9209.0,,,98567.0,1158.0,93824.0,9058.0,53938.0,15710.0,,,,,,,,,,,98333.0,706.0,93044.0,7562.0,,,2068,194.0,162,141.0,1906,216.0,7.8,6.778462699072996,21770232.4453125,20036.499730756535,Yes
42003489001,3729072.0,0.0,Census Tract 4890.01,Pennsylvania,Allegheny County,99905.0,28742.0,,,123367.0,35073.0,126342.0,20275.0,48777.0,7817.0,94115.0,28083.0,,,,,,,,,163750.0,45809.0,99299.0,32270.0,,,1939,133.0,188,150.0,1751,196.0,9.7,7.707306631563029,6423733.171875,12007.663154937243,Yes
42003489002,3460667.0,0.0,Census Tract 4890.02,Pennsylvania,Allegheny County,92889.0,11363.0,,,98906.0,37034.0,109250.0,23990.0,66371.0,13476.0,98203.0,50273.0,,,,,,,,,,,92273.0,12350.0,,,1523,168.0,84,40.0,1439,166.0,5.5,2.5549564232383024,5961497.73046875,11663.625003767938,Yes
42003490002,8249921.0,0.0,Census Tract 4900.02,Pennsylvania,Allegheny County,74969.0,10095.0,,,95255.0,12022.0,78438.0,24049.0,65524.0,20042.0,,,,,,,,,,,,,73844.0,8449.0,,,2243,237.0,49,53.0,2194,243.0,2.2,2.3516053496607245,14197612.59375,16812.003257596883,Yes
42003490003,7806764.0,0.0,Census Tract 4900.03,Pennsylvania,Allegheny County,109630.0,10904.0,,,107333.0,17363.0,170163.0,57064.0,68403.0,12640.0,,,,,,,,,,,,,111071.0,12247.0,,,1458,138.0,179,85.0,1279,146.0,12.3,5.71292117546426,13442812.765625,16817.281037525234,Yes
42003490004,8126273.0,0.0,Census Tract 4900.04,Pennsylvania,Allegheny County,117125.0,15242.0,,,143750.0,37620.0,137845.0,22342.0,65000.0,17632.0,,,,,,,,,,,,,120022.0,16178.0,,,1936,127.0,176,78.0,1760,144.0,9.1,3.984545271980698,13979850.66796875,17144.60943396085,Yes
42003491101,16645820.0,0.0,Census Tract 4911.01,Pennsylvania,Allegheny County,149867.0,34859.0,,,180466.0,23808.0,202679.0,50304.0,115203.0,31360.0,,,,,,,,,,,,,153618.0,33513.0,,,2749,221.0,133,68.0,2616,229.0,4.8,2.4428562897217354,28650119.5,26073.97375216441,Yes
42003491200,10322674.0,0.0,Census Tract 4912,Pennsylvania,Allegheny County,92538.0,13763.0,,,124643.0,23312.0,96500.0,28702.0,47250.0,18562.0,85656.0,36718.0,,,,,,,,,128472.0,42898.0,95982.0,11559.0,,,937,114.0,53,36.0,884,120.0,5.7,3.7799141031105528,17771801.9609375,22358.406208658307,Yes
42003492700,3847041.0,585090.0,Census Tract 4927,Pennsylvania,Allegheny County,37813.0,11888.0,,,36429.0,6616.0,45893.0,32993.0,47731.0,16655.0,,,,,,,,,,,,,41667.0,14414.0,,,798,142.0,5,7.0,793,141.0,0.6,0.8700784764701158,6634584.85546875,16893.233879162402,Yes
42003492800,1647081.0,0.0,Census Tract 4928,Pennsylvania,Allegheny County,36329.0,11363.0,,,32176.0,19674.0,43854.0,21753.0,42500.0,40410.0,44375.0,27258.0,,,,,,,,,,,34464.0,17419.0,,,978,139.0,32,45.0,946,153.0,3.3,4.577666531671825,2834143.50390625,8763.213844684256,Yes
42003492900,1678348.0,0.0,Census Tract 4929,Pennsylvania,Allegheny County,45083.0,11596.0,52059.0,15363.0,43348.0,18367.0,40625.0,12912.0,,,37500.0,26152.0,,,,,,,,,,,52991.0,9827.0,,,859,166.0,41,35.0,818,169.0,4.8,3.968730876208588,2887623.99609375,7765.428380648316,Yes
42003494000,888038.0,186786.0,Census Tract 4940,Pennsylvania,Allegheny County,45278.0,8128.0,50417.0,10595.0,61667.0,33617.0,47500.0,26544.0,34545.0,4930.0,,,,,,,,,,,102083.0,78587.0,44231.0,7483.0,110329.0,107263.0,584,64.0,25,13.0,559,66.0,4.3,2.176031690843631,1527107.6875,6859.7256171495965,Yes
42003495000,49019304.0,2462216.0,Census Tract 4950,Pennsylvania,Allegheny County,72802.0,11027.0,34286.0,29078.0,80179.0,7613.0,73772.0,1400.0,51827.0,10326.0,,,,,,,,,,,,,72730.0,11837.0,,,1338,108.0,105,60.0,1233,136.0,7.8,4.439341516573624,84185450.85546875,41464.16802756011,Yes
42003496101,11880403.0,95880.0,Census Tract 4961.01,Pennsylvania,Allegheny County,98438.0,29397.0,,,101932.0,35764.0,137813.0,23008.0,49680.0,30313.0,,,,,,,,,,,,,88317.0,27897.0,,,1129,189.0,122,90.0,1007,197.0,10.8,7.7636908920884204,20429924.0859375,22403.068688661664,Yes
42003496102,32616398.0,252062.0,Census Tract 4961.02,Pennsylvania,Allegheny County,77500.0,15460.0,,,90670.0,24504.0,133456.0,38151.0,46667.0,16924.0,,,,,,,,,,,71250.0,31167.0,76750.0,17991.0,,,1736,185.0,98,50.0,1638,195.0,5.6,2.81665670619007,56061850.421875,42885.519531696395,Yes
42003496200,14500164.0,606003.0,Census Tract 4962,Pennsylvania,Allegheny County,77803.0,20643.0,,,104884.0,15898.0,85394.0,10457.0,41458.0,24433.0,31767.0,12602.0,,,,,,,,,,,81591.0,9976.0,,,2306,183.0,188,104.0,2118,198.0,8.2,4.463326471970779,24955049.80078125,30371.603169197075,Yes
42003497000,12431396.0,554757.0,Census Tract 4970,Pennsylvania,Allegheny County,76330.0,4350.0,,,77262.0,18843.0,106786.0,55329.0,43438.0,14742.0,,,,,,,,,,,,,76277.0,3273.0,,,420,79.0,6,6.0,414,80.0,1.4,1.4030725623124674,21395548.296875,25938.57433123828,Yes
42003498000,3704812.0,104035.0,Census Tract 4980,Pennsylvania,Allegheny County,76607.0,10241.0,,,80208.0,21155.0,86204.0,12559.0,55200.0,10777.0,,,,,,,,,,,,,74583.0,9770.0,,,1063,137.0,50,36.0,1013,138.0,4.7,3.3319437313375357,6380940.1171875,14342.988883170854,Yes
42003499300,2059494.0,324979.0,Census Tract 4993,Pennsylvania,Allegheny County,46588.0,9497.0,,,48571.0,31254.0,56761.0,30534.0,33155.0,6520.0,,,,,,,,,,,,,47804.0,6061.0,,,701,117.0,7,11.0,694,118.0,1.0,1.560310798125788,3547913.97265625,13489.894205677567,Yes
42003499400,2036887.0,207030.0,Census Tract 4994,Pennsylvania,Allegheny County,43929.0,13054.0,34122.0,25980.0,59627.0,22297.0,46739.0,13451.0,34107.0,19562.0,45652.0,20124.0,,,,,,,,,,,42571.0,14079.0,,,1168,137.0,5,16.0,1163,139.0,0.4,1.3689424611504053,3507854.74609375,10165.783672439451,Yes
42003500300,2936712.0,81773.0,Census Tract 5003,Pennsylvania,Allegheny County,62204.0,9402.0,,,64257.0,17990.0,70494.0,10219.0,36357.0,11253.0,,,,,,,,,,,,,63118.0,6851.0,,,1667,130.0,173,81.0,1494,162.0,10.4,4.7911545806243945,5059904.29296875,9234.429988085592,Yes
42003501000,1253698.0,147126.0,Census Tract 5010,Pennsylvania,Allegheny County,42679.0,18198.0,22353.0,7244.0,69271.0,36685.0,42813.0,23549.0,33558.0,9499.0,,,,,,,,,,,,,42798.0,17278.0,,,813,91.0,27,17.0,786,91.0,3.3,2.057714147007242,2158902.43359375,6543.5970037453435,Yes
42003503002,5396855.0,0.0,Census Tract 5030.02,Pennsylvania,Allegheny County,67716.0,14390.0,36094.0,404.0,96806.0,15276.0,84890.0,27670.0,45577.0,12549.0,,,,,,,,,,,,,64730.0,13341.0,,,2947,253.0,222,93.0,2725,283.0,7.5,3.088774414890484,9301682.97265625,15792.833351611818,Yes
42003504100,8709641.0,476215.0,Census Tract 5041,Pennsylvania,Allegheny County,42205.0,3719.0,,,58750.0,18081.0,41543.0,12760.0,34667.0,18907.0,40554.0,11834.0,,,,,,,,,,,46623.0,7491.0,,,2241,249.0,96,92.0,2145,267.0,4.3,4.077623844279146,15027076.01953125,19715.164668895504,Yes
42003507000,1069829.0,0.0,Census Tract 5070,Pennsylvania,Allegheny County,64103.0,7899.0,,,51484.0,19409.0,77250.0,21308.0,39167.0,16173.0,70417.0,64657.0,,,,,,,,,,,63911.0,10813.0,,,980,105.0,46,35.0,934,110.0,4.7,3.535841920824732,1845893.48828125,7344.443513878031,Yes
42003508000,1111439.0,0.0,Census Tract 5080,Pennsylvania,Allegheny County,37764.0,12777.0,,,,,48295.0,16942.0,33750.0,12080.0,15208.0,13479.0,,,,,,,,,,,39596.0,14942.0,,,859,144.0,39,31.0,820,142.0,4.5,3.527677647234776,1918223.96875,7779.544174820295,Yes
42003509400,2520376.0,0.0,Census Tract 5094,Pennsylvania,Allegheny County,44449.0,7904.0,48125.0,2017.0,,,48576.0,45093.0,45503.0,14234.0,40380.0,17095.0,,,,,,,,,,,45166.0,7020.0,,,2211,301.0,80,70.0,2131,329.0,3.6,3.127434091926459,4351737.07421875,12056.118507909528,Yes
42003510000,1003875.0,0.0,Census Tract 5100,Pennsylvania,Allegheny County,40227.0,17714.0,,,37031.0,4629.0,52756.0,28762.0,,,37552.0,17888.0,,,,,,,,,,,51563.0,24390.0,,,780,130.0,64,58.0,716,137.0,8.2,7.309066697366944,1732711.83203125,6260.450381005851,Yes
42003512000,1280505.0,0.0,Census Tract 5120,Pennsylvania,Allegheny County,38007.0,13499.0,,,53266.0,29603.0,38385.0,19438.0,29489.0,14317.0,,,,,,,,,,,,,45242.0,17032.0,,,1113,163.0,24,32.0,1089,162.0,2.2,2.8577163622262196,2210690.32421875,7448.721270049095,Yes
42003513800,1458664.0,253201.0,Census Tract 5138,Pennsylvania,Allegheny County,24489.0,16992.0,,,,,40463.0,12193.0,34758.0,17349.0,34844.0,19043.0,,,,,,,,,18250.0,9305.0,30000.0,19419.0,,,742,127.0,15,15.0,727,129.0,2.0,1.9917319707868057,2518101.7421875,7230.217605258669,Yes
42003514000,1121696.0,187688.0,Census Tract 5140,Pennsylvania,Allegheny County,29783.0,19137.0,,,,,,,59028.0,40290.0,28468.0,10098.0,,,,,,,,,,,49417.0,38701.0,107750.0,93857.0,765,142.0,47,47.0,718,138.0,6.1,6.0370205541007325,1936913.52734375,5809.0232510798805,Yes
42003515100,1101841.0,0.0,Census Tract 5151,Pennsylvania,Allegheny County,61894.0,8348.0,,,58088.0,15035.0,62823.0,14695.0,116518.0,88737.0,40439.0,21461.0,,,,,,,,,,,72808.0,10608.0,,,1478,230.0,156,98.0,1322,258.0,10.6,6.423926537702084,1903007.21484375,7036.885122666652,Yes
42003515200,545335.0,0.0,Census Tract 5152,Pennsylvania,Allegheny County,60932.0,7166.0,,,82333.0,23241.0,68083.0,28118.0,34737.0,16252.0,,,,,,,,,,,57194.0,55244.0,62119.0,7714.0,,,1046,131.0,19,23.0,1027,131.0,1.8,2.187053269019845,942045.62890625,4337.366299616103,Yes
42003515300,868386.0,138276.0,Census Tract 5153,Pennsylvania,Allegheny County,37031.0,10531.0,,,40145.0,15506.0,58750.0,18084.0,,,35208.0,15111.0,,,,,,,,,,,37778.0,18966.0,,,921,168.0,178,182.0,743,85.0,19.3,19.444117091585564,1499807.74609375,5533.855397247315,Yes
42003515401,609231.0,0.0,Census Tract 5154.01,Pennsylvania,Allegheny County,72000.0,14312.0,60441.0,42040.0,62121.0,28569.0,88958.0,16768.0,73750.0,25546.0,46178.0,2769.0,,,,,,,,,,,80703.0,12004.0,82938.0,76642.0,1024,98.0,134,72.0,890,105.0,13.1,6.918819132480778,1052456.125,7404.5510469618885,Yes
42003516100,713472.0,0.0,Census Tract 5161,Pennsylvania,Allegheny County,96935.0,15843.0,25833.0,10625.0,110000.0,39138.0,137679.0,73610.0,69750.0,17027.0,,,,,,,,,,,,,96741.0,10425.0,,,700,97.0,198,111.0,502,75.0,28.3,15.365083124579556,1232708.515625,4921.219281218349,Yes
42003516200,809167.0,0.0,Census Tract 5162,Pennsylvania,Allegheny County,105250.0,10954.0,35769.0,11493.0,101667.0,36792.0,111000.0,28022.0,,,60625.0,24088.0,,,,,,,,,54348.0,46291.0,109509.0,16383.0,,,817,82.0,112,52.0,705,84.0,13.7,6.214251547546881,1398072.984375,5759.357682631873,Yes
42003517000,2454360.0,20299.0,Census Tract 5170,Pennsylvania,Allegheny County,38070.0,3822.0,44271.0,18897.0,57583.0,37827.0,36063.0,25202.0,25000.0,11168.0,21515.0,12191.0,,,,,,,,,,,46736.0,32634.0,,,909,103.0,94,46.0,815,107.0,10.3,4.922977612069143,4273987.5390625,12185.22894485786,Yes
42003518001,2567927.0,0.0,Census Tract 5180.01,Pennsylvania,Allegheny County,89299.0,14292.0,,,122250.0,31722.0,120104.0,32402.0,55278.0,13034.0,49554.0,7048.0,,,,,,,,,26413.0,676.0,98750.0,13866.0,,,1577,190.0,295,87.0,1282,186.0,18.7,5.035433062817909,4436406.1796875,10584.165915415826,Yes
42003519000,5666780.0,0.0,Census Tract 5190,Pennsylvania,Allegheny County,105924.0,13794.0,,,107092.0,28516.0,130625.0,64352.0,94028.0,19639.0,150551.0,91024.0,,,,,,,,,105842.0,28182.0,106250.0,23280.0,,,1336,129.0,183,85.0,1153,116.0,13.7,6.223285566524828,9793150.32421875,19175.65992941507,Yes
42003520001,4378087.0,0.0,Census Tract 5200.01,Pennsylvania,Allegheny County,65294.0,13791.0,,,96369.0,18176.0,73125.0,24424.0,55250.0,25165.0,47813.0,28828.0,,,,,,,160461.0,152362.0,,,68047.0,13226.0,,,1592,151.0,95,46.0,1497,159.0,6.0,2.83347000852811,7564328.375,14371.363771409055,Yes
42003520002,2720572.0,0.0,Census Tract 5200.02,Pennsylvania,Allegheny County,61719.0,13344.0,38375.0,5792.0,77619.0,25154.0,64500.0,16456.0,55972.0,19366.0,53693.0,10083.0,,,,,,,,,55278.0,31376.0,66525.0,10579.0,,,1625,133.0,138,120.0,1487,123.0,8.5,7.351831893571306,4698867.2421875,15422.691047752189,Yes
42003521100,4688466.0,0.0,Census Tract 5211,Pennsylvania,Allegheny County,83633.0,6071.0,,,83810.0,16565.0,93681.0,22102.0,75114.0,13403.0,78750.0,8622.0,,,,,,,,,,,84258.0,7601.0,,,1734,188.0,113,62.0,1621,199.0,6.5,3.5050450300563907,8105445.8671875,12649.369498100892,Yes
42003521200,7329548.0,0.0,Census Tract 5212,Pennsylvania,Allegheny County,75069.0,12785.0,,,85386.0,22993.0,90333.0,41540.0,46761.0,9408.0,41923.0,34593.0,,,,,,,,,160779.0,19391.0,77271.0,9243.0,160649.0,23325.0,2158,274.0,408,273.0,1750,288.0,18.9,12.420755946130303,12661767.2578125,24998.25214820368,Yes
42003521301,7669712.0,0.0,Census Tract 5213.01,Pennsylvania,Allegheny County,70363.0,14261.0,51250.0,38313.0,65241.0,23975.0,102500.0,24072.0,45417.0,20941.0,50476.0,48408.0,,,,,,,,,65702.0,30473.0,72454.0,26226.0,,,2029,242.0,234,133.0,1795,285.0,11.5,6.409005694407489,13245851.0859375,24591.88114546989,Yes
42003521302,7972525.0,15818.0,Census Tract 5213.02,Pennsylvania,Allegheny County,59016.0,16020.0,,,65669.0,15713.0,92386.0,42906.0,39444.0,8684.0,42344.0,17175.0,,,113906.0,33239.0,,,,,,,64667.0,28012.0,,,1885,240.0,179,170.0,1706,232.0,9.5,8.937157183482615,13795593.390625,22617.400012592458,Yes
42003521401,7326082.0,0.0,Census Tract 5214.01,Pennsylvania,Allegheny County,86188.0,19551.0,54773.0,18102.0,114397.0,31051.0,128542.0,69919.0,53846.0,20285.0,,,,,153648.0,260.0,,,,,137604.0,101374.0,69274.0,11388.0,,,1225,148.0,50,33.0,1175,150.0,4.1,2.6483582027814654,12655420.2109375,18902.78601624248,Yes
42003521402,5739326.0,0.0,Census Tract 5214.02,Pennsylvania,Allegheny County,115000.0,9061.0,,,122500.0,23501.0,115250.0,28029.0,106302.0,6201.0,,,,,171429.0,87841.0,,,,,,,113242.0,8353.0,,,1432,154.0,230,93.0,1202,155.0,16.1,6.260504163716491,9908273.9375,17560.51200815533,Yes
42003521500,10484586.0,0.0,Census Tract 5215,Pennsylvania,Allegheny County,77739.0,5888.0,,,116394.0,26326.0,98235.0,35021.0,62917.0,13112.0,,,,,,,,,,,57014.0,40008.0,79003.0,7376.0,,,1839,162.0,200,102.0,1639,160.0,10.9,5.463126303758337,18121620.57421875,20451.41037728693,Yes
42003522000,1309388.0,0.0,Census Tract 5220,Pennsylvania,Allegheny County,34400.0,7858.0,,,41364.0,22421.0,46450.0,21725.0,23109.0,7092.0,31328.0,5659.0,,,,,,,,,,,35759.0,17519.0,,,1376,143.0,87,86.0,1289,162.0,6.3,6.2153636682017375,2260766.83203125,12203.837087556758,Yes
42003523100,6801262.0,273667.0,Census Tract 5231,Pennsylvania,Allegheny County,60279.0,7292.0,,,60888.0,13200.0,60381.0,20125.0,54183.0,8217.0,60053.0,8190.0,,,,,,,,,90403.0,51818.0,43667.0,42380.0,,,1556,190.0,182,159.0,1374,174.0,11.7,10.118202078969,11765408.2421875,17097.044236136993,Yes
42003523200,3220297.0,0.0,Census Tract 5232,Pennsylvania,Allegheny County,52188.0,19610.0,,,,,73182.0,48215.0,53750.0,28710.0,45750.0,26484.0,,,,,,,,,,,54495.0,45170.0,,,1780,244.0,118,101.0,1662,253.0,6.6,5.600917999630838,5569120.453125,11546.471057227825,Yes
42003523300,3567824.0,0.0,Census Tract 5233,Pennsylvania,Allegheny County,78313.0,20862.0,,,97539.0,20436.0,110283.0,32998.0,53594.0,4661.0,69779.0,22807.0,,,,,,,,,125435.0,46937.0,85946.0,27835.0,,,1729,247.0,40,30.0,1689,246.0,2.3,1.7033403394272744,6171963.25,12335.778393036207,Yes
42003523400,3253596.0,0.0,Census Tract 5234,Pennsylvania,Allegheny County,61670.0,10596.0,,,46029.0,29028.0,81863.0,28873.0,42423.0,37251.0,42214.0,18932.0,,,,,,,,,108732.0,1026.0,65103.0,14949.0,,,2409,347.0,136,156.0,2273,334.0,5.6,6.424454232779741,5625629.9375,9750.203315656396,Yes
42003523501,4584875.0,0.0,Census Tract 5235.01,Pennsylvania,Allegheny County,60112.0,9967.0,,,63304.0,50282.0,60063.0,16447.0,58594.0,20997.0,70541.0,27445.0,,,,,,,,,,,54265.0,6127.0,,,1633,185.0,162,100.0,1471,168.0,9.9,6.019685380572724,7931266.6875,12248.375134709475,Yes
42003523502,4730234.0,0.0,Census Tract 5235.02,Pennsylvania,Allegheny County,59881.0,23184.0,,,49531.0,20511.0,49615.0,28717.0,76818.0,32031.0,57917.0,31619.0,,,,,,,,,,,49875.0,14500.0,,,730,135.0,81,43.0,649,142.0,11.1,5.521441880337547,8180756.3828125,14432.185302874062,Yes
42003523600,5034901.0,0.0,Census Tract 5236,Pennsylvania,Allegheny County,61984.0,17456.0,,,94181.0,53047.0,94167.0,69639.0,43182.0,8926.0,86250.0,47551.0,,,,,,,,,,,44452.0,29400.0,,,2155,246.0,262,204.0,1893,300.0,12.2,9.364069580355821,8704250.27734375,13077.2606285986,Yes
42003523701,6548443.0,0.0,Census Tract 5237.01,Pennsylvania,Allegheny County,66326.0,3996.0,,,66563.0,7976.0,74750.0,19305.0,53854.0,14763.0,2499.0,,,,,,,,,,,,67140.0,7069.0,,,1704,164.0,138,83.0,1566,166.0,8.1,4.808124308714579,11338650.58203125,17920.430922989624,Yes
42003523702,7029186.0,0.0,Census Tract 5237.02,Pennsylvania,Allegheny County,58837.0,9053.0,,,59861.0,3707.0,72875.0,18949.0,28304.0,8985.0,54583.0,16781.0,,,,,,,,,71875.0,62272.0,60991.0,14534.0,,,2521,322.0,269,142.0,2252,345.0,10.7,5.465314444714465,12166133.79296875,21024.063903155406,Yes
42003523800,4795646.0,329882.0,Census Tract 5238,Pennsylvania,Allegheny County,72941.0,9402.0,,,76797.0,12903.0,88374.0,6273.0,45331.0,17852.0,,,,,,,,,,,,,75114.0,8589.0,,,2222,209.0,108,88.0,2114,225.0,4.9,3.933920224251823,8299809.79296875,15385.886358263262,Yes
42003524000,1312704.0,235470.0,Census Tract 5240,Pennsylvania,Allegheny County,49703.0,17098.0,50000.0,29817.0,48917.0,27713.0,72107.0,44634.0,35500.0,21057.0,,,,,,,,,,,,,61984.0,10422.0,,,1214,147.0,44,23.0,1170,151.0,3.6,1.8430319014143404,2273049.72265625,8010.644991953308,Yes
42003525100,1357813.0,0.0,Census Tract 5251,Pennsylvania,Allegheny County,86550.0,17986.0,,,111563.0,49286.0,99821.0,33287.0,40298.0,11071.0,,,,,,,,,,,,,88438.0,19841.0,,,983,125.0,81,32.0,902,134.0,8.2,3.082095114191797,2351967.9765625,8555.964770814502,Yes
42003525200,1121761.0,296443.0,Census Tract 5252,Pennsylvania,Allegheny County,64676.0,11045.0,,,106667.0,45636.0,109444.0,45975.0,39556.0,15354.0,,,,,,,,,,,,,67344.0,10233.0,,,1312,137.0,103,64.0,1209,143.0,7.9,4.808673718347393,1943051.4140625,6042.920843658167,Yes
42003525300,1621773.0,198507.0,Census Tract 5253,Pennsylvania,Allegheny County,119014.0,11653.0,,,165854.0,27230.0,118967.0,7210.0,86750.0,26613.0,,,,,,,,,,,167031.0,44512.0,118702.0,9578.0,,,1008,149.0,110,38.0,898,148.0,10.9,3.407293992898974,2809823.36328125,8503.826266334743,Yes
42003526101,34306561.0,958351.0,Census Tract 5261.01,Pennsylvania,Allegheny County,110343.0,23087.0,36726.0,28543.0,158646.0,35420.0,139423.0,50401.0,58472.0,25450.0,,,,,,,,,,,138558.0,73573.0,110867.0,23274.0,,,2867,248.0,207,100.0,2660,259.0,7.2,3.431595654929301,59435770.90234375,43166.666654175206,Yes
42003526102,13797822.0,0.0,Census Tract 5261.02,Pennsylvania,Allegheny County,93346.0,17324.0,103813.0,62459.0,115543.0,13999.0,120833.0,33496.0,54444.0,5156.0,,,,,,,,,,,,,92500.0,20252.0,,,893,97.0,94,52.0,799,87.0,10.5,5.709708408502205,23889557.59375,23206.41752186908,Yes
42003526201,6188706.0,0.0,Census Tract 5262.01,Pennsylvania,Allegheny County,89032.0,13565.0,,,114688.0,24511.0,117024.0,16817.0,73526.0,8711.0,,,,,,,,,,,,,88914.0,18025.0,,,1391,181.0,83,55.0,1308,186.0,6.0,3.877008200471159,10710915.62109375,15414.375100436688,Yes
42003526202,11353167.0,0.0,Census Tract 5262.02,Pennsylvania,Allegheny County,99750.0,17908.0,,,94732.0,20085.0,118375.0,19112.0,81875.0,31690.0,91012.0,37577.0,,,250001.0,,,,,,,,106964.0,22530.0,,,1875,170.0,143,81.0,1732,169.0,7.6,4.264299387131649,19637200.90234375,25937.23375004367,Yes
42003526301,4348413.0,0.0,Census Tract 5263.01,Pennsylvania,Allegheny County,97188.0,19448.0,,,121528.0,38737.0,152974.0,15045.0,57059.0,11632.0,,,,,,,,,,,,,97318.0,19371.0,,,1526,181.0,58,50.0,1468,175.0,3.8,3.2453783812432553,7523039.00390625,15205.02650917054,Yes
42003526302,4001953.0,0.0,Census Tract 5263.02,Pennsylvania,Allegheny County,98125.0,9129.0,60817.0,3171.0,115938.0,13507.0,95000.0,22331.0,60882.0,34928.0,,,,,,,,,,,,,96740.0,9056.0,,,2140,255.0,100,74.0,2040,265.0,4.7,3.4128186016530497,6920733.9453125,13292.323215692544,Yes
42003550900,989679.0,0.0,Census Tract 5509,Pennsylvania,Allegheny County,30192.0,7001.0,,,30909.0,18548.0,32269.0,29347.0,19013.0,7157.0,31196.0,8132.0,,,,,,,,,99891.0,11812.0,24583.0,8347.0,,,708,161.0,61,38.0,647,163.0,8.6,4.996851664923254,1705787.33984375,7019.426833410357,Yes
42003551200,1308013.0,0.0,Census Tract 5512,Pennsylvania,Allegheny County,30973.0,3482.0,,,41061.0,15834.0,31626.0,11924.0,20625.0,9230.0,30860.0,11857.0,,,,,,,,,31458.0,17326.0,37837.0,19282.0,11058.0,10309.0,1669,351.0,65,59.0,1604,368.0,3.9,3.438858857862617,2254618.05859375,7141.622543928702,Yes
42003551300,3951643.0,29848.0,Census Tract 5513,Pennsylvania,Allegheny County,59743.0,13920.0,,,72321.0,39527.0,61141.0,39375.0,48194.0,19418.0,,,,,,,,,,,,,60926.0,8729.0,,,955,107.0,66,42.0,889,118.0,6.9,4.329203418904826,6812933.96484375,14936.841275024723,Yes
42003551900,1810718.0,402061.0,Census Tract 5519,Pennsylvania,Allegheny County,14077.0,6585.0,,,10143.0,4713.0,,,26544.0,7310.0,13611.0,3979.0,,,,,,,,,,,,,,,763,178.0,33,30.0,730,180.0,4.3,3.8001811778236463,3121467.56640625,11975.562011326712,Yes
42003552000,639467.0,0.0,Census Tract 5520,Pennsylvania,Allegheny County,43918.0,9159.0,,,27950.0,25025.0,44447.0,14365.0,52379.0,21926.0,33438.0,30255.0,,,,,,,,,51359.0,28666.0,44038.0,4552.0,,,896,201.0,32,46.0,864,201.0,3.6,5.071028833421259,1101951.0546875,4948.396415482664,Yes
42003552100,692361.0,100358.0,Census Tract 5521,Pennsylvania,Allegheny County,18210.0,5617.0,,,23269.0,1620.0,,,10391.0,1862.0,15268.0,5724.0,,,,,,,,,,,17000.0,16739.0,,,401,103.0,69,57.0,332,96.0,17.2,13.509878026375148,1193218.03515625,6039.344064315613,Yes
42003552200,809820.0,246035.0,Census Tract 5522,Pennsylvania,Allegheny County,50469.0,10428.0,,,52813.0,17160.0,80764.0,57152.0,46250.0,25324.0,,,,,,,,,,,,,46852.0,11127.0,,,377,93.0,5,7.0,372,94.0,1.3,1.8277126839273332,1395776.03125,5235.2180632234185,Yes
42003552300,830981.0,0.0,Census Tract 5523,Pennsylvania,Allegheny County,27321.0,8031.0,,,27357.0,4922.0,,,,,29103.0,11316.0,,,,,,,,,26464.0,6849.0,17269.0,17238.0,,,773,140.0,49,63.0,724,146.0,6.3,8.068798503123176,1431978.3828125,6311.783573656468,Yes
42003552400,2045381.0,243810.0,Census Tract 5524,Pennsylvania,Allegheny County,42057.0,9799.0,,,50595.0,13511.0,41689.0,31346.0,29732.0,12079.0,50052.0,19244.0,,,,,,,,,,,34269.0,15222.0,,,1366,223.0,114,93.0,1252,206.0,8.3,6.6704879923264055,3523765.68359375,12275.50804189936,Yes
