GEOID,ALAND,AWATER,NAME,State,County,B19049_001E,B19049_001M,B19049_002E,B19049_002M,B19049_003E,B19049_003M,B19049_004E,B19049_004M,B19049_005E,B19049_005M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19053_001E,B19053_001M,B19053_002E,B19053_002M,B19053_003E,B19053_003M,B19053_calc_pctSelfempE,B19053_calc_pctSelfempM,Shape__Area,Shape__Length,Update_Field
42003470400,1790089.0,0.0,Census Tract 4704,Pennsylvania,Allegheny County,120972.0,24636.0,,,121591.0,40348.0,138364.0,5060.0,60063.0,15334.0,,,,,131094.0,74736.0,,,,,,,106771.0,28400.0,,,1341,198.0,61,37.0,1280,193.0,4.5,2.676139684400823,3087170.12109375,12345.55282651843,Yes
42003470501,1128817.0,0.0,Census Tract 4705.01,Pennsylvania,Allegheny County,94776.0,19637.0,59000.0,27709.0,120310.0,20567.0,84861.0,29016.0,49600.0,24809.0,66023.0,21768.0,,,121350.0,24924.0,,,,,91196.0,30923.0,70886.0,9644.0,,,2213,329.0,65,65.0,2148,343.0,2.9,2.904549292031439,1948415.51953125,6383.384252642063,Yes
42003470502,1863363.0,0.0,Census Tract 4705.02,Pennsylvania,Allegheny County,107813.0,17667.0,,,122000.0,18270.0,116587.0,41727.0,80227.0,19085.0,,,,,,,,,,,174875.0,42248.0,106176.0,20402.0,,,1217,130.0,89,57.0,1128,131.0,7.3,4.618042474612856,3216767.39453125,12141.145633606497,Yes
42003470600,1874525.0,0.0,Census Tract 4706,Pennsylvania,Allegheny County,65105.0,6200.0,,,70625.0,18153.0,58821.0,9140.0,44250.0,21455.0,,,,,,,,,,,,,66563.0,6914.0,,,1419,144.0,43,31.0,1376,143.0,3.0,2.162885505439788,3235331.9375,11030.488877446405,Yes
42003471000,743717.0,0.0,Census Tract 4710,Pennsylvania,Allegheny County,64804.0,5957.0,,,75000.0,34752.0,64325.0,4793.0,46875.0,26131.0,,,,,,,,,,,,,64575.0,5318.0,,,672,92.0,76,68.0,596,84.0,11.3,9.999890307408863,1283472.53125,4538.16606090697,Yes
42003472100,549884.0,0.0,Census Tract 4721,Pennsylvania,Allegheny County,75137.0,7068.0,41136.0,6124.0,93125.0,33088.0,76742.0,17021.0,54671.0,26524.0,,,,,,,,,,,106250.0,81556.0,76230.0,7963.0,,,1159,124.0,63,42.0,1096,134.0,5.4,3.5768438474204634,949174.453125,4981.8198760764035,Yes
42003472200,651963.0,0.0,Census Tract 4722,Pennsylvania,Allegheny County,65313.0,24452.0,,,66563.0,31753.0,88482.0,28179.0,,,44306.0,28012.0,,,,,,,,,,,71964.0,25806.0,,,1174,203.0,197,154.0,977,156.0,16.8,12.792622778585494,1125224.66796875,4588.819848205803,Yes
42003472300,342247.0,0.0,Census Tract 4723,Pennsylvania,Allegheny County,85234.0,8924.0,47917.0,42735.0,88516.0,15963.0,101681.0,14304.0,41458.0,35735.0,24659.0,6636.0,,,,,,,,,160521.0,159845.0,87617.0,8895.0,95341.0,92397.0,905,144.0,33,20.0,872,146.0,3.6,2.132421478663626,590651.41796875,3568.300827528789,Yes
42003472400,425318.0,0.0,Census Tract 4724,Pennsylvania,Allegheny County,94000.0,19119.0,,,119500.0,65751.0,108482.0,8270.0,48681.0,3739.0,,,,,,,,,,,,,101100.0,12575.0,,,758,105.0,82,33.0,676,109.0,10.8,4.087531923820236,733915.94921875,3760.2810279841906,Yes
42003473100,1505105.0,0.0,Census Tract 4731,Pennsylvania,Allegheny County,114569.0,20982.0,,,110091.0,22183.0,159116.0,26300.0,,,,,,,240962.0,203890.0,,,,,,,114655.0,19740.0,,,2002,197.0,424,169.0,1578,199.0,21.2,8.180264572767399,2597534.65234375,7902.724505862917,Yes
42003473200,729800.0,0.0,Census Tract 4732,Pennsylvania,Allegheny County,82135.0,20752.0,15000.0,9681.0,85750.0,37713.0,147885.0,19118.0,53456.0,17390.0,,,,,,,,,,,,,80781.0,17462.0,,,1523,137.0,88,64.0,1435,131.0,5.8,4.169964780215823,1259093.38671875,5026.690823369809,Yes
42003473300,3299040.0,0.0,Census Tract 4733,Pennsylvania,Allegheny County,133563.0,15932.0,,,150451.0,17453.0,156755.0,40673.0,81711.0,36167.0,,,,,,,,,,,,,132647.0,16457.0,,,2389,241.0,196,97.0,2193,249.0,8.2,3.9750292405004424,5691411.02734375,12665.173619338762,Yes
42003473401,1527653.0,0.0,Census Tract 4734.01,Pennsylvania,Allegheny County,122679.0,30340.0,,,94390.0,17024.0,153281.0,49896.0,183214.0,35870.0,,,,,,,,,,,92909.0,26767.0,141382.0,22532.0,,,1525,144.0,201,71.0,1324,142.0,13.2,4.4863060993142785,2634827.078125,7104.730260715763,Yes
42003473402,1770114.0,0.0,Census Tract 4734.02,Pennsylvania,Allegheny County,146552.0,35578.0,,,181429.0,5751.0,101875.0,22493.0,99449.0,35409.0,,,,,,,,,,,,,145776.0,35021.0,,,1488,173.0,167,70.0,1321,184.0,11.2,4.51971741278303,3051875.73828125,8972.075205989991,Yes
42003473500,2381556.0,0.0,Census Tract 4735,Pennsylvania,Allegheny County,162578.0,23263.0,,,160278.0,74209.0,185625.0,34236.0,97042.0,30756.0,,,,,117431.0,33618.0,,,,,250001.0,,163125.0,27146.0,,,1225,130.0,227,88.0,998,135.0,18.5,6.90926822386644,4106863.96875,9971.786463962268,Yes
42003473601,2078015.0,0.0,Census Tract 4736.01,Pennsylvania,Allegheny County,126667.0,27104.0,,,160521.0,58310.0,123333.0,30360.0,101458.0,56348.0,,,,,,,,,,,2499.0,,132169.0,31321.0,,,1604,166.0,181,60.0,1423,172.0,11.3,3.5536789411443874,3585396.66015625,8470.601680412246,Yes
42003473602,2451754.0,6712.0,Census Tract 4736.02,Pennsylvania,Allegheny County,109518.0,9987.0,,,170313.0,52990.0,133173.0,20868.0,73750.0,34814.0,,,,,140781.0,129621.0,,,,,,,109052.0,14120.0,,,1910,157.0,241,83.0,1669,160.0,12.6,4.219962185672305,4240198.91015625,10426.337685720755,Yes
42003474101,4058870.0,0.0,Census Tract 4741.01,Pennsylvania,Allegheny County,147037.0,13582.0,,,153153.0,11436.0,194125.0,39855.0,80750.0,21747.0,,,,,132188.0,101851.0,,,,,83864.0,72783.0,152083.0,14378.0,,,1524,149.0,405,150.0,1119,149.0,26.6,9.493397098132844,6997336.9375,16935.055865746832,Yes
42003474102,4788201.0,0.0,Census Tract 4741.02,Pennsylvania,Allegheny County,170000.0,51531.0,,,195918.0,43582.0,236528.0,44015.0,95547.0,14010.0,,,,,210972.0,94084.0,,,,,,,165455.0,49680.0,,,1338,153.0,238,83.0,1100,154.0,17.8,5.860335552150378,8250822.30859375,16412.556939527247,Yes
